,Line_Lyrics
928,so lets at least agree to go our separate ways
929,not gonna judge you when youre with somebody else
930,as long as you swear you wont be pissed when i do it myself
931,lets end it like we should and say were good
932,here where the skys falling
933,im covered in blue
934,im running and im crawling
935,fighting for you
936,when the rain stops then darling what will i do 
937,and i know i go all in but why do i 
938,you give me a reason something to believe in
939,i know i know i know
940,you give me a meaning something i can breathe in
941,i know i know i know
942,its a bittersweet feeling
943,longing and im leaving
944,i go i go i go
945,but i wish i was there with you
946,oh i wish i was there with you
947,theres a crack in my window
948,a bird in my room
949,angels all over that watch over you
950,when im walking on water
951,all my dreams have come true
952,still nothing means nothing
953,without you you
954,you give me a reason something to believe in
955,i know i know i know
956,you give me a meaning something i can breathe in
957,i know i know i know
958,its a bittersweet feeling
959,longing and im leaving
960,i go i go i go
961,tell my heart to lie but i know deep inside its true
962,that i wish i was there with you
963,that i wish i was there with you
964,oh i wish i was there with you
965,you give me a reason something to believe in
966,i know i know i know
967,you give me a meaning something i can breathe in
968,i know i know i know
969,its a bittersweet feeling
970,longing and im leaving
971,i go i go i go
972,tell my heart to lie but i know deep inside its true
973,that i wish i was there with you
974,that i wish i was there with you
975,oh i wish i was there with you
976,feel your eyes they all over me
977,dont be shy take control of me
978,get the vibe its gonna be lit tonight
979,baby girl yuh a carry ten ton a phatness gimme some a dat
980,mixed wid the badness look how she hot
981,shaped like goddess but a nah jus dat
982,is a good piece a mentals under di cap
983,hot piece of frame an mi love how yuh trod
984,watching every step a di pepper deh whe yuh got
985,stayin in ma brain memory cyah detach
986,mainly my aim is to give you this love
987,hypnotic the way you move
988,let me acknowledge the way you do
989,and i would not lie baby you
990,beam me up like scotty
991,its so hypnotic the way you move
992,thats why i wanted to get to you
993,and i would not lie baby you
994,move so hypnotic
995,no lie i ie
996,gyal we never miss
997,feel your eyes theyre all over me
998,dont be shy take control of me
999,get the vibe its gonna be lit tonight
1000,gyal we never miss gyal we never miss
1001,no li i i ie
1002,hypnotised pour another one
1003,its alright i know what you want
1004,get the vibe its gonna be lit tonight
1005,gyal we never miss gyal we never miss
1006,no li i ie
1007,feels how we do it
1008,no li i ie
1009,same suh we do it
1010,no li i ie
1011,feels how we do it
1012,its gonna be lit tonight
1013,no li i ie
1014,feels how we do it
1015,no li i ie
1016,its always how we do it
1017,no li i ie
1018,feels how we do it
1019,its gonna be lit tonight
1020,no lie i ie
1021,im so lit so lit my girl
1022,suh lemme see you roll it roll it my girl
1023,now lemme see you bend and fold it
1024,now let mi bone it
1025,and let mi own it my girl
1026,give yuh all the styles dat i have mastered
1027,hoist you up baby girl thats my word
1028,give you the good lovin that is preferred
1029,you deserve it so dont be scared
1030,its hypnotic the way you move
1031,let me acknowledge the way you do
1032,and i would not lie baby you
1033,beam me up like scotty
1034,its so hypnotic the way you move
1035,thats why i wanted to get to you
1036,and i would not lie baby you
1037,move so hypnotic
1038,no lie i ie
1039,gyal never miss
1040,feel your eyes theyre all over me
1041,dont be shy take control of me
1042,get the vibe its gonna be lit tonight
1043,gyal we never miss gyal we never miss
1044,no li i i ie
1045,hypnotised pour another one
1046,its alright i know what you want
1047,get the vibe its gonna be lit tonight
1048,gyal we never miss gyal we never miss
1049,no li i ie
1050,feels how we do it
1051,no li i ie
1052,its always how we do it
1053,no li i ie
1054,feels how we do it
1055,its gonna be lit tonight
1056,no lie i ie
1057,feels how we do it
1058,no li i ie
1059,its always how we do it
1060,no li i ie
1061,feels how we do it
1062,its gonna be lit tonight
1063,no lie i ie
1064,shake dat body lemme see you just do it
1065,give dem hundred percent
1066,no lie i ie
1067,move dat body lemme see you just do it
1068,girl go on represent
1069,no lie i ie
1070,shake dat body lemme see you just do it
1071,to the fullest extent
1072,no lie i ie
1073,move dat body lemme see you just do it
