,Line_Lyrics
1074,girl youre magnificent
1075,no lie i ie
1076,feel your eyes theyre all over me
1077,dont be shy take control of me
1078,get the vibe its gonna be lit tonight
1079,gyal we never miss gyal we never miss
1080,no li i i ie
1081,hypnotised pour another one
1082,its alright i know what you want
1083,get the vibe its gonna be lit tonight
1084,gyal we never miss gyal we never miss
1085,no li i ie
1086,feels how we do it
1087,no li i ie
1088,its always how we do it
1089,no li i ie
1090,feels how we do it
1091,its gonna be lit tonight
1092,no lie i ie
1093,feels how we do it
1094,no li i ie
1095,its always how we do it
1096,no li i ie
1097,feels how we do it
1098,its gonna be lit tonight
1099,no lie i ie
1100,prisoner prisoner locked up
1101,cant get you off my mind off my mind
1102,lord knows i tried a million times million times oh woah
1103,why cant you why cant you just let me go 
1104,strung out on a feeling my hands are tied
1105,your face on my ceiling i fantasize
1106,oh i cant control it i cant control it 
1107,i try to replace it with city lights
1108,ill never escape it i need the high
1109,oh i cant control it i cant control it 
1110,you keep making it harder to stay
1111,but i still cant run away
1112,i gotta know why cant you why cant you just let me go 
1113,prisoner prisoner locked up
1114,cant get you off my mind off my mind
1115,lord knows i tried a million times million times oh woah
1116,why cant you why cant you just let me go 
1117,prisoner prisoner locked up
1118,cant get you off my mind off my mind
1119,lord knows i tried a million times million times oh woah
1120,why cant you why cant you just let me go 
1121,i tasted heaven now i cant live without it
1122,i cant forget you and your love is the loudest
1123,oh i cant control it i cant control it 
1124,you keep making it harder to stay 
1125,but i still cant run away
1126,i gotta know why cant you why cant you just let me go 
1127,prisoner prisoner locked up
1128,cant get you off my mind off my mind
1129,lord knows i tried a million times million times oh woah
1130,why cant you why cant you just let me go 
1131,prisoner prisoner locked up
1132,cant get you off my mind off my mind 
1133,lord knows i tried a million times million times oh woah
1134,why cant you why cant you just let me go 
1135,cant get you off my mind
1136,why cant you just let me go 
1137,million times
1138,i wanna know why cant you why cant you
1139,i wanna know why cant you why cant you
1140,i gotta know why cant you why cant you just let me go 
1141,ah yeah
1142,ah yeah
1143,he calls me the devil
1144,i make him wanna sin
1145,every time i knock he cant help but let me in
1146,must be homesick for the real
1147,im the realest it gets
1148,you probably still adore me
1149,with my hands around your neck
1150,can you feel the warmth yeah
1151,as my kiss goes down you like some sweet alcohol
1152,where im coming from yeah
1153,its the darker side of me that makes you feel so numb
1154,cause i m hot like hell
1155,does it burn when im not there 
1156,and youre by yourself
1157,am i the answer to your prayers 
1158,im giving you that pleasure heaven
1159,and ill give it to you
1160,hotter than hell
1161,hotter than hell
1162,youre my manna from heaven
1163,we all gotta get fed
1164,can t let me know im wanted
1165,can t let me in your head
1166,im not here to make you kneel
1167,but its praise that i get
1168,you aint gonna walk free boy
1169,not finished with you yet no
1170,can you feel the warmth yeah
1171,as my kiss goes down you like some sweet alcohol
1172,where i m coming from yeah
1173,its the darker side of me that makes you feel so numb
1174,cause im hot like hell
1175,does it burn when im not there 
1176,and youre by yourself
1177,am i the answer to your prayers 
1178,im giving you that pleasure heaven
1179,and ill give it to you
1180,hotter than hell
1181,hotter than hell
1182,oh youre down right there
1183,you make me feel right there
1184,when you lay me down right there
1185,we just make it right there
1186,cause youre looking so right there
1187,baby you should touch me right there
1188,if you take me right there
1189,we could make it
1190,cause im hot like hell
1191,does it burn when im not there 
1192,and youre by yourself
1193,am i the answer to your prayers 
1194,im giving you that pleasure heaven
1195,and ill give it to you
1196,hotter than hell
1197,hotter than hell
1198,hotter than hell
1199,hotter than hell
1200,and ill give it to you
1201,hotter than hell
1202,i never thought that i would find a way out
1203,i never thought id hear my heart beat so loud
1204,i cant believe theres something left in my chest anymore
1205,but goddamn you got me in love again
1206,i used to think that i was made out of stone
1207,i used to spend so many nights on my own
1208,i never knew i had it in me to dance anymore
1209,but goddamn you got me in love again
1210,show me that heavens right here baby
1211,touch me so i know im not crazy
1212,never have i ever met somebody like you
1213,used to be afraid of love and what it might do
1214,but goddamn you got me in love again
1215,you got me in love again
1216,you got me in love again
1217,you got me in love again
1218,again
1219,so many nights my tears fell harder than rain
1220,scared i would take my broken heart to the grave
1221,id rather die than have to live in a storm like before
1222,but goddamn you got me in love again
1223,show me that heavens right here baby
1224,touch me so i know im not crazy
1225,never have i ever met somebody like you
1226,used to be afraid of love and what it might do
1227,but goddamn you got me in love again
1228,you got me in love again
1229,you got me in love again
1230,you got me in love again
1231,again
1232,i cant believe i cant believe
1233,i finally found someone
1234,ill sink my teeth in disbelief
1235,cause youre the one that i want
1236,i cant believe i cant believe
1237,im not afraid anymore
1238,goddamn you got me in love again
1239,la la la la la la
1240,la la la la la la
1241,i never thought that i would find a way out
1242,i never thought id hear my heart beat so loud
1243,i cant believe theres something left in my chest anymore
1244,oh goddamn you got me in love again
1245,i cant believe i cant believe
1246,i finally found someone
1247,ill sink my teeth in disbelief
1248,cause youre the one that i want
1249,i cant believe theres something left inside my chest anymore
1250,but goddamn you got me in love again
1251,you got me in love again
1252,you got me in love again
1253,you got me in love again 
1254,again
1255,its second nature to walk home before the sun goes down
1256,and put your keys between your knuckles when theres boys around
1257,isnt it funny how we laugh it off to hide our fear
1258,when theres nothing funny here 
1259,sick intuition that they taught us so we wont freak out
1260,we hide our figures doing anything to shut their mouths
1261,we smile away to ease the tension so it dont go south
1262,but theres nothing funny now 
1263,when will we stop saying things
1264,cause theyre all listening 
1265,no the kids aint alright
1266,oh and they do what they see
1267,cause its all on tv
1268,oh the kids aint alright
1269,boys will be boys will be
1270,boys will be boys will be boys
1271,but girls will be women
1272,boys will be boys will be
1273,boys will be boys will be boys
1274,but girls will be women
1275,im sure if theres something that i cant find the words to say
1276,i know that there will be a man around to save the day
1277,and that was sarcasm in case you needed it mansplained
1278,i shouldve stuck to ballet 
1279,when will we stop saying things
1280,cause theyre all listening 
1281,no the kids aint alright
1282,oh and they do what they see
